scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,occurrenceStatus,basisOfRecord,datasetKey,kingdom,phylum,class,order,family,genus,species,taxonRank,occurrenceID,individualCount
"Panthera leo (Linnaeus, 1758)",KE,0.625,37.625,2019-01-28T00:00:00.000+01:00,28,1,2019,PRESENT,HUMAN_OBSERVATION,999d8fed-d06d-48d8-87ee-cc36e6c8456c,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,-27434,1
"Panthera leo (Linnaeus, 1758)",KE,0.125,36.875,2019-10-12T00:00:00.000+02:00,12,10,2019,PRESENT,HUMAN_OBSERVATION,999d8fed-d06d-48d8-87ee-cc36e6c8456c,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,-29994,1
"Panthera leo (Linnaeus, 1758)",KE,-1.36659,35.01729,2015-09-26T00:00:00.000+02:00,26,9,2015,PRESENT,HUMAN_OBSERVATION,e1beb83c-9b83-4d17-ac5e-d24e09507ec5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,02EB2537-1001-4E98-8E63-EC98FB78F1A4,1
"Panthera leo (Linnaeus, 1758)",TZ,-2.335852,34.834106,1930-01-01T00:00:00.000Z,,,1930,PRESENT,PRESERVED_SPECIMEN,41fc5c40-5e81-496f-9733-6b5681b3b7a5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,0616cadb-7100-4447-aa14-fa6b8ca4f482,1
"Panthera leo (Linnaeus, 1758)",ZM,-12.9736,31.537001,1966-01-01T00:00:00.000+01:00,,,1966,PRESENT,PRESERVED_SPECIMEN,ea9f5b0b-ad97-45ea-935a-ba2784c80cbb,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,09aad51d-60dc-11eb-a93b-06f21c000156,1
"Panthera leo (Linnaeus, 1758)",KE,-1.367,38.866,2000-04-30T00:00:00.000+02:00,30,4,2000,PRESENT,HUMAN_OBSERVATION,4ec9e37d-1af5-4dc2-9c2f-97fcf5f22867,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,0c0ac752-f146-4f6e-9ada-97aedc57b04f,5
"Panthera leo (Linnaeus, 1758)",TZ,-2.444182,34.825779,1928-08-01T00:00:00.000+01:00,1,8,1928,PRESENT,PRESERVED_SPECIMEN,41fc5c40-5e81-496f-9733-6b5681b3b7a5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,0ce209d7-d720-4913-9229-e89deb4ca27b,1
"Panthera leo (Linnaeus, 1758)",BJ,12.0,2.5833,2014-04-02T00:00:00.000+02:00,2,4,2014,PRESENT,OCCURRENCE,5e1d2d54-f5db-43ac-87c5-55a9f79ac718,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,100,1
"Panthera leo (Linnaeus, 1758)",SD,12.739758,35.434817,1928-11-25T00:00:00.000Z,25,11,1928,PRESENT,PRESERVED_SPECIMEN,41fc5c40-5e81-496f-9733-6b5681b3b7a5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,10b988aa-4141-4e9a-8840-c25f130df088,1
"Panthera leo (Linnaeus, 1758)",FR,47.4911,2.3208,1992-03-31T00:00:00.000+02:00,31,3,1992,PRESENT,PRESERVED_SPECIMEN,8c6aacda-2fd5-48a6-9b27-c673163ce2dd,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,11.Fel.20,1
"Panthera leo (Linnaeus, 1758)",KE,-1.267,36.8,1913-01-01T00:00:00.000Z,,,1913,PRESENT,PRESERVED_SPECIMEN,8c6aacda-2fd5-48a6-9b27-c673163ce2dd,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,11.Grp.1,2
"Panthera leo (Linnaeus, 1758)",BJ,12.16497,2.77932,2015-05-23T00:00:00.000+02:00,23,5,2015,PRESENT,HUMAN_OBSERVATION,fe903576-72e1-446a-b019-479f537adabe,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,1173,1
"Panthera leo (Linnaeus, 1758)",BJ,12.14359,2.77938,2015-05-23T00:00:00.000+02:00,23,5,2015,PRESENT,HUMAN_OBSERVATION,fe903576-72e1-446a-b019-479f537adabe,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,1174,1
"Panthera leo (Linnaeus, 1758)",BJ,12.03823,2.6898,2015-05-23T00:00:00.000+02:00,23,5,2015,PRESENT,HUMAN_OBSERVATION,fe903576-72e1-446a-b019-479f537adabe,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,1175,1
"Panthera leo (Linnaeus, 1758)",BJ,12.0563,2.6896,2015-05-23T00:00:00.000+02:00,23,5,2015,PRESENT,HUMAN_OBSERVATION,fe903576-72e1-446a-b019-479f537adabe,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,1176,1
"Panthera leo (Linnaeus, 1758)",BJ,12.01904,2.68412,2015-05-23T00:00:00.000+02:00,23,5,2015,PRESENT,HUMAN_OBSERVATION,fe903576-72e1-446a-b019-479f537adabe,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,1177,1
"Panthera leo (Linnaeus, 1758)",TZ,-2.444182,34.825779,1928-07-29T00:00:00.000+01:00,29,7,1928,PRESENT,PRESERVED_SPECIMEN,41fc5c40-5e81-496f-9733-6b5681b3b7a5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,137cdf2d-526f-4d98-8f72-b9525f069990,1
"Panthera leo (Linnaeus, 1758)",KE,-0.355773,36.121981,2000-07-29T00:00:00.000+02:00,29,7,2000,PRESENT,HUMAN_OBSERVATION,4ec9e37d-1af5-4dc2-9c2f-97fcf5f22867,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,SPECIES,13ee2831-27ab-41f8-9984-49be53bfa0ac,9
